Gene_symbol	Phenotype	ph	Ps	Pi	Theta	omega_M0	dN_tree	dS_tree	FDR_M1a_vs_M2a	Significant_M1a_vs_M2a_FDR05	Status_M1a_vs_M2a	omega_positive_M1a_vs_M2a	prop_sites_positive_M1a_vs_M2a	N_BEB_sites_P95_M1a_vs_M2a	N_BEB_sites_P99_M1a_vs_M2a	BEB_P99_gap_enrichment_M1a_vs_M2a	FDR_M7_vs_M8	Significant_M7_vs_M8_FDR05	Status_M7_vs_M8
MAGEL2	NREM ratio	NREM_ratio	0.547	0.094	0.136	0.33182	2.8825	8.6869	1	NO	OK	1	0.0608	0	0	NA			
MAPK10	NREM ratio	NREM_ratio	0.37	0.05	0.085	0.09714	0.5554	5.7178	1.203e-104	YES	OK	9.8015	0.15084	61	46	3.397			
MAPK8	NREM ratio	NREM_ratio	0.322	0.057	0.074	0.07127	0.4154	5.8289	1.84e-28	YES	OK	4.0215	0.01789	6	4	0			
MAPK9	NREM ratio	NREM_ratio	0.338	0.074	0.078	0.06429	0.4623	7.1907	1.886e-08	YES	OK	3.5219	0.0048	2	2	0.242			
MC3R	NREM ratio	NREM_ratio	0.401	0.096	0.095	0.06787	1.1207	16.5135	1	NO	OK	1	0.02859	0	0	NA			
METTL3	NREM ratio	NREM_ratio	0.382	0.073	0.088	0.0787	0.5443	6.9169	1	NO	OK	1	0.09107	0	0	NA			
MTA1	NREM ratio	NREM_ratio	0.279	0.04	0.065	0.09579	0.9235	9.6413	1.623e-54	YES	OK	19.6181	0.17684	33	8	1.371			
MTNR1A	NREM ratio	NREM_ratio	0.484	0.116	0.113	0.16099	1.6328	10.142	1	NO	OK	1	0.22432	0	0	NA			
MTNR1B	NREM ratio	NREM_ratio	0.454	0.11	0.109	0.20976	1.9468	9.2811	1	NO	OK	11.8294	0.00198	0	0	NA			
MTTP	NREM ratio	NREM_ratio	0.48	0.118	0.11	0.18081	1.3864	7.6676	1	NO	OK	1	0.0373	0	0	NA			
MYBBP1A	NREM ratio	NREM_ratio	0.47	0.115	0.109	0.21659	2.5757	11.8924	1	NO	OK	1	0.05942	1	1	0.215			
NFIL3	NREM ratio	NREM_ratio	0.361	0.108	0.085	0.11876	1.2141	10.2229	1	NO	OK	1	0.0435	0	0	NA			
NGFR	NREM ratio	NREM_ratio	0.26	0.046	0.06	0.07481	1.1748	15.7035	1	NO	OK	1	0.11603	0	0	NA			
NKX2-1	NREM ratio	NREM_ratio	0.258	0.037	0.06	0.05589	0.5028	8.9971	2.348e-08	YES	OK	3.0625	0.03679	6	1	2.522			
NLGN1	NREM ratio	NREM_ratio	0.33	0.058	0.075	0.03806	0.1807	4.7462	1	NO	OK	999	0	0	0	NA			
NOCT	NREM ratio	NREM_ratio	0.382	0.062	0.087	0.1128	1.3967	12.3818	1	NO	OK	1	0.00954	1	0	NA			
NOS2	NREM ratio	NREM_ratio	0.527	0.11	0.121	0.18897	1.8391	9.7324	9.512e-28	YES	OK	3.639	0.03199	11	7	0.801			
NPAS2	NREM ratio	NREM_ratio	0.515	0.083	0.119	0.18658	1.2944	6.9373	8.738e-107	YES	OK	82.8865	0.08305	40	20	2.582			
NPS	NREM ratio	NREM_ratio	0.608	0.107	0.143	0.44376	2.2357	5.0381	1	NO	OK	1	0.12593	0	0	NA			
NPSR1	NREM ratio	NREM_ratio	0.495	0.099	0.114	0.2167	1.8376	8.4799	5.067e-42	YES	OK	3.2973	0.05904	14	12	0.292			
NR1D1	NREM ratio	NREM_ratio	0.309	0.057	0.071	0.08236	0.7415	9.0033	1	NO	OK	1	0.06712	0	0	NA			
NR1D2	NREM ratio	NREM_ratio	0.391	0.062	0.091	0.13293	0.8223	6.1862	1.366e-31	YES	OK	7.1582	0.09386	14	7	2.768			
NR1H3	NREM ratio	NREM_ratio	0.239	0.042	0.055	0.12545	1.2853	10.2456	1	NO	OK	1	0.17871	0	0	NA			
NR2F6	NREM ratio	NREM_ratio	0.365	0.055	0.087	0.04925	1.1855	24.0727	1	NO	OK	1	0.01259	0	0	NA			
NR3C1	NREM ratio	NREM_ratio	0.415	0.077	0.095	0.15546	0.8998	5.7883	1	NO	OK	1	0.04673	0	0	NA			
NRIP1	NREM ratio	NREM_ratio	0.508	0.118	0.122	0.18236	1.3864	7.6028	1	NO	OK	1	0.07902	0	0	NA			
NTRK1	NREM ratio	NREM_ratio	0.505	0.1	0.115	0.12071	1.6981	14.0683	1	NO	OK	1	0.07239	1	1	0			
OGT	NREM ratio	NREM_ratio	0.328	0.063	0.075	0.0168	0.0999	5.9435	1	NO	OK	1	0.00174	0	0	NA			
OPN3	NREM ratio	NREM_ratio	0.441	0.073	0.106	0.21598	1.1716	5.4246	1	NO	OK	1	0.04622	0	0	NA			
OPN4	NREM ratio	NREM_ratio	0.471	0.096	0.109	0.23474	2.5624	10.9159	5.008e-70	YES	OK	5.4772	0.07468	20	16	0.804			
OPN5	NREM ratio	NREM_ratio	0.345	0.069	0.079	0.14975	0.9624	6.4269	2.96e-13	YES	OK	219.2408	0.00172	6	2	0.697			
PARP1	NREM ratio	NREM_ratio	0.405	0.096	0.093	0.08889	1.0001	11.2513	1	NO	OK	1	0.04473	4	1	3.377			
PAX4	NREM ratio	NREM_ratio	0.444	0.087	0.104	0.37439	2.743	7.3268	3.374e-25	YES	OK	2.7035	0.08617	12	8	0.222			
PER1	NREM ratio	NREM_ratio	0.363	0.072	0.085	0.11723	0.877	7.4805	1	NO	OK	1	0.15805	0	0	NA			
PER2	NREM ratio	NREM_ratio	0.531	0.126	0.122	0.20661	2.497	12.0856	1	NO	OK	1	0.17684	2	1	2.839			
PER3	NREM ratio	NREM_ratio	0.576	0.107	0.135	0.43214	3.6149	8.3651	9.88e-18	YES	OK	2.523	0.03359	6	3	0.904			
PHLPP1	NREM ratio	NREM_ratio	0.515	0.084	0.12	0.13886	1.1569	8.3309	1	NO	OK	1	0.20696	0	0	NA			
PML	NREM ratio	NREM_ratio	0.498	0.107	0.117	0.22697	3.0633	13.4966	1	NO	OK	1	0.03033	4	2	0.058			
PPARA	NREM ratio	NREM_ratio	0.267	0.065	0.062	0.05403	1.0959	20.2859	1	NO	OK	1	0.05	0	0	NA			
PPARG	NREM ratio	NREM_ratio	0.202	0.043	0.046	0.06137	0.5403	8.803	1	NO	OK	1	0.03724	0	0	NA			
PPARGC1A	NREM ratio	NREM_ratio	0.211	0.035	0.048	0.19474	0.6644	3.4118	7.166e-86	YES	OK	5.9233	0.0631	23	17	1.07			
PPP1CA	NREM ratio	NREM_ratio	0.405	0.032	0.094	0.05966	0.8291	13.8969	1	NO	OK	1	0.09028	9	0	NA			
PPP1CB	NREM ratio	NREM_ratio	0.297	0.03	0.068	0.10976	0.537	4.8922	3.703e-27	YES	OK	3.5792	0.14044	28	8	0.805			
PPP1CC	NREM ratio	NREM_ratio	0.299	0.037	0.069	0.16922	0.8897	5.2578	1.054e-18	YES	OK	3.6961	0.0929	4	3	0.211			
PRKAA1	NREM ratio	NREM_ratio	0.123	0.015	0.028	0.09419	0.6876	7.3006	7.006e-38	YES	OK	7.4305	0.12316	35	9	3.134			
PRKAA2	NREM ratio	NREM_ratio	0.278	0.054	0.064	0.06603	0.4771	7.2255	1	NO	OK	1	0.00572	0	0	NA			
PRKCG	NREM ratio	NREM_ratio	0.156	0.026	0.037	0.03799	0.5886	15.4958	1	NO	OK	1	0.09509	3	0	NA			
SERPINE1	NREM ratio	NREM_ratio	0.37	0.076	0.087	0.16462	1.516	9.2093	1	NO	OK	1	0.11408	0	0	NA			
SFPQ	NREM ratio	NREM_ratio	0.455	0.063	0.105	0.15708	1.1121	7.0794	1	NO	OK	1	0.09162	0	0	NA			
SIAH2	NREM ratio	NREM_ratio	0.202	0.033	0.046	0.06113	0.876	14.3295	1	NO	OK	1	0.03718	0	0	NA			
SIK1	NREM ratio	NREM_ratio	0.191	0.048	0.044	0.12853	2.0989	16.3299	1	NO	OK	1	0.09966	0	0	NA			
SIN3A	NREM ratio	NREM_ratio	0.233	0.047	0.053	0.03211	0.5246	16.3365	1	NO	OK	1	0.03136	0	0	NA			
SIRT1	NREM ratio	NREM_ratio	0.406	0.069	0.094	0.20703	1.174	5.6704	2.994e-10	YES	OK	2.9138	0.03618	4	0	NA			
SLC6A4	NREM ratio	NREM_ratio	0.4	0.084	0.091	0.11459	0.9888	8.6295	1	NO	OK	1	0.1213	0	0	NA			
SOX14	NREM ratio	NREM_ratio	0.122	0.026	0.029	0.0153	0.1199	7.8349	1	NO	OK	1	0.00864	0	0	NA			
SREBF1	NREM ratio	NREM_ratio	0.447	0.099	0.104	0.14475	1.6603	11.4702	1	NO	OK	1	0.20503	0	0	NA			
SUV39H2	NREM ratio	NREM_ratio	0.124	0.016	0.029	0.19596	1.1657	5.9487	2.536e-43	YES	OK	6.2314	0.12792	33	15	2.481			
TH	NREM ratio	NREM_ratio	0.415	0.086	0.098	0.08401	1.4656	17.4453	1	NO	OK	1	0.0662	1	0	NA			
THRAP3	NREM ratio	NREM_ratio	0.41	0.081	0.094	0.08052	0.8348	10.3679	1	NO	OK	1	0.06238	0	0	NA			
TIMELESS	NREM ratio	NREM_ratio	0.461	0.084	0.107	0.18172	1.576	8.6728	1	NO	OK	1	0.08338	0	0	NA			
TNFRSF11A	NREM ratio	NREM_ratio	0.592	0.128	0.137	0.32612	3.1991	9.8094	3.643e-25	YES	OK	3.581	0.03861	11	6	0.907			
TOP1	NREM ratio	NREM_ratio	0.402	0.069	0.092	0.0672	0.6609	9.8351	1	NO	OK	999	0.00154	0	0	NA			
TOP2A	NREM ratio	NREM_ratio	0.455	0.096	0.104	0.13431	1.0135	7.5463	1	NO	OK	1	0.10217	1	0	NA			
TP53	NREM ratio	NREM_ratio	0.409	0.076	0.096	0.25523	2.7811	10.8964	4.567e-07	YES	OK	3.0149	0.06597	2	0	NA			
TPH1	NREM ratio	NREM_ratio	0.323	0.043	0.074	0.15233	1.0677	7.0093	2.913e-104	YES	OK	49.5393	0.16445	52	39	1.458			
TYMS	NREM ratio	NREM_ratio	0.442	0.07	0.102	0.18071	1.4562	8.0581	8.044e-19	YES	OK	72.1453	0.03802	11	2	2.25			
UBE3A	NREM ratio	NREM_ratio	0.333	0.059	0.076	0.05833	0.3354	5.7507	1	NO	OK	1	0.08525	1	1	0.794			
USP2	NREM ratio	NREM_ratio	0.364	0.069	0.085	0.12813	0.9618	7.5068	1	NO	OK	1	0.1499	0	0	NA			
USP7	NREM ratio	NREM_ratio	0.345	0.063	0.079	0.07719	0.7057	9.1429	8.888e-177	YES	OK	6.5641	0.03993	31	26	0.789			
