Gene_symbol	Phenotype	ph	Ps	Pi	Theta	omega_M0	dN_tree	dS_tree	FDR_M2	FDR_M1a_vs_M2a	Significant_M1a_vs_M2a_FDR05	Status_M1a_vs_M2a	omega_positive_M1a_vs_M2a	prop_sites_positive_M1a_vs_M2a	N_BEB_sites_P95_M1a_vs_M2a	N_BEB_sites_P99_M1a_vs_M2a	BEB_P99_gap_enrichment_M1a_vs_M2a	FDR_M7_vs_M8	Significant_M7_vs_M8_FDR05	Status_M7_vs_M8
MAPK8	Sleep timing	Sleep_timing	0.501	0.07	0.109	0.06247	1.197	19.1614	0.006769	9.233e-19	YES	OK	3.4322	0.01479	4	4	0.057			
MAPK9	Sleep timing	Sleep_timing	0.495	0.088	0.109	0.05324	1.143	21.47	0.1496	1	NO	OK	1	0.0397	2	1	0.157			
METTL3	Sleep timing	Sleep_timing	0.475	0.088	0.106	0.07041	1.0848	15.4078	0.06878	1	NO	OK	1	0.04742	0	0	NA			
MTNR1A	Sleep timing	Sleep_timing	0.627	0.125	0.142	0.15975	2.0498	12.8312	3.857e-06	1	NO	OK	1	0.00816	0	0	NA			
MTNR1B	Sleep timing	Sleep_timing	0.453	0.115	0.105	0.2061	2.1403	10.3847	0.1943	1	NO	OK	1	0.04209	0	0	NA			
NFIL3	Sleep timing	Sleep_timing	0.482	0.119	0.11	0.11883	2.449	20.6096	8.216e-05	1	NO	OK	1	0.0401	0	0	NA			
NKX2-1	Sleep timing	Sleep_timing	0.394	0.051	0.088	0.056	1.6471	29.4143	0.002582	1.212e-10	YES	OK	3.2567	0.03279	7	3	1.163			
NOS2	Sleep timing	Sleep_timing	0.548	0.117	0.12	0.18461	2.3389	12.6694	1.229e-06	1.087e-22	YES	OK	3.0585	0.02818	9	6	0.829			
NPS	Sleep timing	Sleep_timing	0.599	0.115	0.136	0.43405	2.4607	5.6691	0.1135	1	NO	OK	1	0.0593	0	0	NA			
NTRK1	Sleep timing	Sleep_timing	0.541	0.104	0.119	0.12074	2.1744	18.0092	0.01899	1	NO	OK	1	0.08526	1	1	0.057			
OPN3	Sleep timing	Sleep_timing	0.501	0.084	0.116	0.21083	1.6329	7.7451	2.379e-06	1	NO	OK	1	0.21662	0	0	NA			
OPN4	Sleep timing	Sleep_timing	0.594	0.106	0.132	0.24199	4.0522	16.7453	0.05365	7.89e-84	YES	OK	5.8586	0.05594	16	13	0.494			
PARP1	Sleep timing	Sleep_timing	0.514	0.111	0.112	0.09267	1.8872	20.3647	0.01768	1	NO	OK	1	0.08799	4	0	NA			
PER1	Sleep timing	Sleep_timing	0.521	0.088	0.117	0.11963	2.667	22.2929	2.627e-12	1	NO	OK	1	0.06339	0	0	NA			
PER3	Sleep timing	Sleep_timing	0.699	0.124	0.156	0.40733	5.8652	14.3992	0.1969	2.13e-21	YES	OK	2.4493	0.04045	5	4	0.62			
PML	Sleep timing	Sleep_timing	0.526	0.108	0.12	0.23543	3.2223	13.687	1.017e-05	1	NO	OK	1	0.1275	4	3	0.247			
PPARGC1A	Sleep timing	Sleep_timing	0.361	0.046	0.079	0.18378	2.0567	11.1915	0.01359	1.281e-60	YES	OK	4.826	0.06221	22	17	0.68			
SERPINE1	Sleep timing	Sleep_timing	0.507	0.087	0.115	0.17031	2.2949	13.4753	0.01251	1	NO	OK	1	0.12131	0	0	NA			
SIN3A	Sleep timing	Sleep_timing	0.371	0.061	0.081	0.03692	0.8877	24.0441	0.0005754	1	NO	OK	1	0.03658	0	0	NA			
SPSB4	Sleep timing	Sleep_timing	0.426	0.072	0.1	0.03316	0.5299	15.9804	0.8278	1	NO	OK	1	0.02624	0	0	NA			
SREBF1	Sleep timing	Sleep_timing	0.505	0.1	0.112	0.14523	2.2399	15.4227	0.1645	1	NO	OK	1	0.05544	0	0	NA			
TH	Sleep timing	Sleep_timing	0.473	0.098	0.106	0.08378	2.2199	26.4974	0.0007748	1	NO	OK	1	0.05149	2	1	1.99			
TNFRSF11A	Sleep timing	Sleep_timing	0.648	0.137	0.144	0.33992	4.8031	14.1302	0.01359	3.441e-30	YES	OK	3.4271	0.04572	11	9	1.296			
TOP1	Sleep timing	Sleep_timing	0.511	0.079	0.112	0.08437	1.0421	12.3517	0.001207	1	NO	OK	1	0.0888	0	0	NA			
TPH1	Sleep timing	Sleep_timing	0.388	0.054	0.085	0.1391	1.8101	13.0125	0.1783	7.554e-87	YES	OK	49.7347	0.10763	44	29	1.46			
UBE3A	Sleep timing	Sleep_timing	0.485	0.074	0.106	0.05275	0.932	17.6691	1.153e-05	8.18e-10	YES	OK	5.1677	0.02027	7	3	2.753			
USP2	Sleep timing	Sleep_timing	0.415	0.073	0.094	0.12118	1.2925	10.6654	7.439e-09	1	NO	OK	1	0.14385	0	0	NA			
