Gene_symbol	Phenotype	ph	Ps	Pi	Theta	omega_M0	dN_tree	dS_tree	FDR_M1a_vs_M2a	Significant_M1a_vs_M2a_FDR05	Status_M1a_vs_M2a	omega_positive_M1a_vs_M2a	prop_sites_positive_M1a_vs_M2a	N_BEB_sites_P95_M1a_vs_M2a	N_BEB_sites_P99_M1a_vs_M2a	BEB_P99_gap_enrichment_M1a_vs_M2a	FDR_M7_vs_M8	Significant_M7_vs_M8_FDR05	Status_M7_vs_M8
EGR3	Sleep duration	Sleep_duration	0.399	0.057	0.085	0.049137162764319856	0.8491	17.2802	1	NO	OK	1	0.027	0	0	NA			
EP300	Sleep duration	Sleep_duration	0.521	0.079	0.11	0.08657221248614098	1.6944	19.5721	1	NO	OK	1	0.08133	0	0	NA			
EZH2	Sleep duration	Sleep_duration	0.223	0.037	0.047	0.05407401782447517	1.5666	28.9714	1	NO	OK	1	0.04491	7	5	1.125			
F7	Sleep duration	Sleep_duration	0.557	0.137	0.119	0.21847516666211927	4.8044	21.9906	6.236e-06	YES	OK	9.1885	0.02109	3	3	1.765			
FBXL3	Sleep duration	Sleep_duration	0.424	0.068	0.091	0.06603727497007743	1.6221	24.5634	1	NO	OK	1	0.09822	3	1	1.85			
FBXW11	Sleep duration	Sleep_duration	0.386	0.061	0.082	0.05375965967082072	0.6268	11.6593	1	NO	OK	1	0.04082	3	0	NA			
FBXW7	Sleep duration	Sleep_duration	0.4	0.044	0.084	0.11160384860620563	1.5578	13.9583	1	NO	OK	1	0.08217	10	7	1.443			
GFPT1	Sleep duration	Sleep_duration	0.371	0.073	0.078	0.04710705568937738	0.5906	12.5374	8.131e-36	YES	OK	12.2645	0.0805	18	10	2.862			
GHRH	Sleep duration	Sleep_duration	0.496	0.062	0.106	0.3015984304057989	5.3341	17.6861	0.00388	YES	OK	2.1706	0.06288	2	0	NA			
GHRL	Sleep duration	Sleep_duration	0.393	0.063	0.086	0.35814053972816334	3.8128	10.6461	1.597e-05	YES	OK	18.0961	0.07145	2	0	NA			
GNA11	Sleep duration	Sleep_duration	0.543	0.062	0.117	0.045183491602072995	2.5118	55.5911	1	NO	OK	1	0.12227	1	0	NA			
GSK3B	Sleep duration	Sleep_duration	0.183	0.021	0.038	0.08268748739520008	1.148	13.8836	2.955e-38	YES	OK	41.3807	0.04662	12	7	1.247			
HCRTR2	Sleep duration	Sleep_duration	0.496	0.072	0.105	0.09324180098044535	2.0618	22.1124	1	NO	OK	1	0.0249	0	0	NA			
HDAC3	Sleep duration	Sleep_duration	0.236	0.054	0.052	0.011064528677010847	0.1536	13.8822	1	NO	OK	1	0	0	0	NA			
HEBP1	Sleep duration	Sleep_duration	0.318	0.068	0.069	0.1520264249135606	2.559	16.8326	1	NO	OK	1	0.0772	0	0	NA			
HNRNPU	Sleep duration	Sleep_duration	0.445	0.061	0.095	0.09882663752966023	1.212	12.2639	1	NO	OK	1	0.06554	0	0	NA			
ID2	Sleep duration	Sleep_duration	0.3	0.025	0.063	0.1018002699977785	2.3829	23.4076	1	NO	OK	1	0.06439	1	0	NA			
ID3	Sleep duration	Sleep_duration	0.553	0.044	0.118	0.09009121356801823	3.0342	33.6792	3.278e-21	YES	OK	4.7515	0.37415	38	18	1.222			
ID4	Sleep duration	Sleep_duration	0.253	0.024	0.056	0.11459917995972241	3.1639	27.6084	1	NO	OK	1	0.05745	0	0	NA			
KCNA2	Sleep duration	Sleep_duration	0.495	0.098	0.106	0.04776483194291535	0.8113	16.9853	1	NO	OK	1	0.06882	0	0	NA			
KCNH7	Sleep duration	Sleep_duration	0.452	0.073	0.095	0.09034978186027937	1.7872	19.7809	1	NO	OK	1	0.01543	0	0	NA			
KDM5A	Sleep duration	Sleep_duration	0.418	0.072	0.088	0.060975971458957424	1.4391	23.6011	1	NO	OK	1	0.06615	6	4	2.01			
KLF10	Sleep duration	Sleep_duration	0.613	0.117	0.131	0.19132620689238428	3.1662	16.5487	1	NO	OK	1	0.04411	2	1	2.575			
LEP	Sleep duration	Sleep_duration	0.507	0.084	0.111	0.2843347324547242	2.9061	10.2207	7.191e-18	YES	OK	56.625	0.07343	6	4	1.638			
LGR4	Sleep duration	Sleep_duration	0.596	0.107	0.125	0.10849623910929407	2.7334	25.1935	1	NO	OK	1	0.04592	0	0	NA			
MAGEL2	Sleep duration	Sleep_duration	0.624	0.093	0.142	0.3341639881843143	5.1359	15.3694	1	NO	OK	1	0.05865	0	0	NA			
MAPK10	Sleep duration	Sleep_duration	0.541	0.063	0.114	0.08721816351437232	1.5508	17.7807	1.175e-120	YES	OK	7.2393	0.14431	62	44	2.54			
MC3R	Sleep duration	Sleep_duration	0.55	0.107	0.121	0.07597931565993486	1.8337	24.1342	1	NO	OK	4.0523	0	0	0	NA			
METTL3	Sleep duration	Sleep_duration	0.491	0.086	0.105	0.07545540335725928	1.3193	17.4845	1	NO	OK	1	0.02934	0	0	NA			
MTA1	Sleep duration	Sleep_duration	0.351	0.043	0.076	0.1021919892921644	2.2294	21.8158	1	NO	OK	1	0.28359	13	8	1.179			
MTNR1A	Sleep duration	Sleep_duration	0.639	0.125	0.139	0.15424607878183538	2.4595	15.9453	1	NO	OK	1	0.05529	0	0	NA			
MTNR1B	Sleep duration	Sleep_duration	0.461	0.114	0.103	0.217835998156486	2.4578	11.2828	1	NO	OK	1	0.10877	0	0	NA			
MTTP	Sleep duration	Sleep_duration	0.637	0.143	0.134	0.1781167433595114	3.4179	19.1891	0.3687	NO	OK	5.3357	0.00351	1	0	NA			
MYBBP1A	Sleep duration	Sleep_duration	0.57	0.118	0.121	0.222211199606965	4.7039	21.1686	1	NO	OK	1	0.29505	6	4	1.06			
NGFR	Sleep duration	Sleep_duration	0.314	0.05	0.067	0.0780571874253079	2.482	31.7972	1	NO	OK	1	0.10123	0	0	NA			
NKX2-1	Sleep duration	Sleep_duration	0.4	0.053	0.086	0.05384840681937444	1.765	32.7772	6.82e-09	YES	OK	3.0284	0.02991	6	2	1.144			
NLGN1	Sleep duration	Sleep_duration	0.563	0.073	0.118	0.04263137137965198	1.3296	31.1883	1	NO	OK	999	1e-05	0	0	NA			
NOS2	Sleep duration	Sleep_duration	0.58	0.118	0.123	0.1930810796527989	2.9229	15.1382	9.822e-34	YES	OK	2.7361	0.03834	10	7	0.78			
NPAS2	Sleep duration	Sleep_duration	0.653	0.089	0.139	0.1989328789222636	2.8485	14.3189	1	NO	OK	1	0.19722	18	8	2.277			
NPS	Sleep duration	Sleep_duration	0.694	0.114	0.152	0.45316095102443305	2.8952	6.3889	1	NO	OK	1	0.09323	0	0	NA			
NPSR1	Sleep duration	Sleep_duration	0.739	0.121	0.158	0.22386649874055417	4.4082	19.6912	4.943e-77	YES	OK	3.7784	0.05096	15	14	0.295			
NR1D1	Sleep duration	Sleep_duration	0.529	0.07	0.111	0.087965117433123	3.9884	45.3407	1	NO	OK	1	0.02045	0	0	NA			
NR1D2	Sleep duration	Sleep_duration	0.615	0.08	0.13	0.14256004730620242	2.8448	19.9551	1	NO	OK	1	0.15956	13	7	1.386			
NR1H3	Sleep duration	Sleep_duration	0.367	0.053	0.077	0.11434270064301025	2.6887	23.5144	1	NO	OK	1	0.12507	0	0	NA			
NR2F6	Sleep duration	Sleep_duration	0.528	0.067	0.115	0.054172080945296436	2.5889	47.7903	1	NO	OK	1	0.0131	0	0	NA			
NR3C1	Sleep duration	Sleep_duration	0.608	0.101	0.128	0.16104747475342956	2.7318	16.9627	1	NO	OK	1	0.08687	0	0	NA			
NTRK1	Sleep duration	Sleep_duration	0.583	0.112	0.124	0.11837241089265062	2.8146	23.7775	1	NO	OK	1	0.00842	1	1	0.083			
OGT	Sleep duration	Sleep_duration	0.496	0.083	0.104	0.027489680530021852	0.4755	17.2974	1	NO	OK	1	0	0	0	NA			
OPN3	Sleep duration	Sleep_duration	0.525	0.088	0.116	0.19556620063499133	2.1066	10.7718	1	NO	OK	1	0.12764	0	0	NA			
OPN4	Sleep duration	Sleep_duration	0.641	0.105	0.137	0.23838441877513816	4.8126	20.1884	1.546e-105	YES	OK	5.1618	0.07399	25	19	0.799			
OPN5	Sleep duration	Sleep_duration	0.476	0.082	0.1	0.15955652583365437	1.8637	11.6805	1	NO	OK	1	0.10551	10	7	1.178			
PARP1	Sleep duration	Sleep_duration	0.539	0.114	0.113	0.0937603584930202	2.2346	23.8331	1	NO	OK	1	0.10628	3	1	2.945			
PAX4	Sleep duration	Sleep_duration	0.531	0.096	0.116	0.3695570447858777	4.5219	12.236	1.498e-36	YES	OK	2.6602	0.09258	18	12	0.215			
PER1	Sleep duration	Sleep_duration	0.592	0.094	0.128	0.12005138386079646	3.2896	27.4016	1	NO	OK	1	0.12971	1	0	NA			
PHLPP1	Sleep duration	Sleep_duration	0.624	0.099	0.133	0.1400722569868457	2.2138	15.8047	1	NO	OK	1	0.20968	0	0	NA			
PML	Sleep duration	Sleep_duration	0.552	0.11	0.121	0.23386960394141984	4.1488	17.7398	2.087e-16	YES	OK	2.9778	0.02468	6	6	0.248			
PPARA	Sleep duration	Sleep_duration	0.386	0.074	0.082	0.057944880601897286	2.8342	48.912	1	NO	OK	1	0.0792	3	0	NA			
PPP1CB	Sleep duration	Sleep_duration	0.415	0.04	0.087	0.09152001907287925	1.2284	13.4222	4.525e-28	YES	OK	10.2599	0.15449	19	8	1.717			
PPP1CC	Sleep duration	Sleep_duration	0.346	0.04	0.074	0.15911217576823747	1.2753	8.0151	1.186e-21	YES	OK	3.1396	0.10405	5	4	0.19			
PRKAA2	Sleep duration	Sleep_duration	0.366	0.068	0.077	0.05984400799513339	1.1018	18.4112	1	NO	OK	1	0.12316	0	0	NA			
SFPQ	Sleep duration	Sleep_duration	0.654	0.076	0.139	0.1562773195484435	3.2892	21.0472	1	NO	OK	1	0.04898	0	0	NA			
SIN3A	Sleep duration	Sleep_duration	0.385	0.062	0.081	0.038826520048770394	1.3502	34.7752	1	NO	OK	1	0.04279	0	0	NA			
SLC6A4	Sleep duration	Sleep_duration	0.476	0.099	0.1	0.10558910047995046	1.6368	15.5016	1	NO	OK	1	0.08064	0	0	NA			
SOX14	Sleep duration	Sleep_duration	0.39	0.039	0.084	0.01609586810692122	1.384	85.9848	1	NO	OK	1	0.01418	0	0	NA			
SREBF1	Sleep duration	Sleep_duration	0.529	0.098	0.113	0.14624220235382848	2.7921	19.0923	1	NO	OK	1	0.05534	0	0	NA			
SUV39H2	Sleep duration	Sleep_duration	0.182	0.018	0.039	0.19001357542847447	2.2395	11.786	7.734e-29	YES	OK	3.3537	0.13849	26	8	1.011			
TH	Sleep duration	Sleep_duration	0.495	0.101	0.107	0.09225310886803498	2.6002	28.1855	1	NO	OK	1	0.05574	2	0	NA			
THRAP3	Sleep duration	Sleep_duration	0.687	0.111	0.145	0.08372079060045556	2.231	26.6481	1	NO	OK	1	0.07133	0	0	NA			
TIMELESS	Sleep duration	Sleep_duration	0.622	0.108	0.132	0.16355766444508837	3.6124	22.0864	1.033e-08	YES	OK	2.8524	0.01451	5	2	0.409			
TNFRSF11A	Sleep duration	Sleep_duration	0.71	0.135	0.151	0.34274372105381057	6.579	19.1951	1.498e-36	YES	OK	3.1037	0.04856	12	10	0.846			
TOP1	Sleep duration	Sleep_duration	0.536	0.08	0.113	0.08014155915867677	1.2772	15.9368	1	NO	OK	1	0.0898	0	0	NA			
TOP2A	Sleep duration	Sleep_duration	0.549	0.108	0.116	0.1376571656999766	1.8251	13.2583	3.029e-08	YES	OK	2.6782	0.00413	3	3	0.573			
TYMS	Sleep duration	Sleep_duration	0.554	0.079	0.118	0.16398053343445837	2.5945	15.822	9.248e-38	YES	OK	46.5664	0.09925	23	6	1.856			
UBE3A	Sleep duration	Sleep_duration	0.538	0.077	0.113	0.05423198741060935	1.089	20.0804	2.005e-15	YES	OK	7.5145	0.03314	9	4	3.159			
USP2	Sleep duration	Sleep_duration	0.472	0.077	0.102	0.12980325624311695	1.7444	13.4388	1	NO	OK	1	0.11622	0	0	NA			
