Gene	Ps	Pi	Theta	TajimasD	Phenotype	dN	dS	dN_dS	Cluster	purity_score	p_value	DiffChange
HDAC1	0.279	0.043	0.062	-1.124	activity_pattern	0.17334031	0.04246879	4.08159285913255	14	0.533877551020408	0.255372313843079	0.00244897959183699
HDAC2	0.39	0.052	0.086	-1.418	activity_pattern	0.12120037	0.10041921	1.20694406976514	14	0.514513788098694	0.178410794602699	0.00290275761973902
HDAC3	0.227	0.055	0.052	0.205	activity_pattern	0.04266569	0.30672325	0.139101584245733	14	0.534299516908213	0.401799100449775	0.017391304347826
HEBP1	0.293	0.067	0.066	0.06	activity_pattern	0.23595311	0.18217931	1.29516963259988	12	0.601063829787234	0.00299850074962519	0.0372340425531911
HNRNPD	0.387	0.035	0.085	-2.146	activity_pattern	0.05710332	0.11609626	0.491861839477	14	0.468204053109714	0.934032983508246	0.00209643605870102
HNRNPU	0.406	0.06	0.089	-1.192	activity_pattern	0.08812127	0.17766765	0.495989393679716	14	0.526124818577649	0.477261369315342	0.00435413642960802
HTR7	0.47	0.071	0.104	-1.144	activity_pattern	0.15171744	0.18867561	0.80411792494006	14	0.490566037735849	0.588705647176412	0.00362844702467302
ID2	0.266	0.024	0.058	-2.118	activity_pattern	0.14242721	0.06500352	2.19106919132995	13	0.501010101010101	0.295852073963018	0.032323232323232
ID3	0.514	0.042	0.113	-2.298	activity_pattern	0.19122002	0.147727	1.29441483276585	14	0.503628447024673	0.862568715642179	0.000725689404934005
ID4	0.223	0.022	0.051	-2.1	activity_pattern	0.13537152	0.15203187	0.890415410926669	13	0.474630021141649	0.909545227386307	0.00317124735729396
KCNA2	0.46	0.092	0.103	-0.397	activity_pattern	0.02859871	0.4195159	0.0681707415618812	10	0.55265306122449	0.0434782608695652	0.0179591836734699
KCNH7	0.423	0.069	0.093	-0.938	activity_pattern	0.13843556	0.18673862	0.741333313912248	13	0.533333333333333	0.169415292353823	0.00269360269360197
KDM5A	0.398	0.07	0.087	-0.713	activity_pattern	0.13034549	0.21731856	0.599789958114944	14	0.515151515151515	0.413793103448276	0.004713804713804
KLF10	0.502	0.115	0.112	0.096	activity_pattern	0.17757671	0.31039299	0.572102836471919	14	0.527843137254902	0.19640179910045	0.00156862745097996
KLF9	0.271	0.026	0.06	-2.097	activity_pattern	0.08659937	0.23776933	0.364215897819959	14	0.589803921568628	0.0079960019990005	0.0643137254901971
LEP	0.5	0.083	0.114	-0.986	activity_pattern	0.21412036	0.2413543	0.887161985512585	14	0.526570048309179	0.204897551224388	0.011594202898551
LGR4	0.567	0.103	0.124	-0.61	activity_pattern	0.1672039	0.36070463	0.463547972755437	13	0.517171717171717	0.333833083458271	0.042424242424242
MAGEL2	0.614	0.107	0.147	-1.048	activity_pattern	0.40157362	0.30226165	1.32856291891479	14	0.59009009009009	0.0429785107446277	0.0495495495495489
MAPK10	0.526	0.062	0.115	-1.665	activity_pattern	0.12959278	0.07236501	1.79082100589774	14	0.528619528619529	0.0709645177411294	0.02020202020202
MAPK8	0.501	0.07	0.109	-1.299	activity_pattern	0.11532299	0.13574394	0.849562713444151	14	0.513804713804714	0.2063968015992	0.00606060606060599
MAPK9	0.495	0.088	0.109	-0.701	activity_pattern	0.14952944	0.1168306	1.27988249653772	14	0.62699564586357	0.000999500249875062	0.060957910014513
MC3R	0.482	0.107	0.11	-0.101	activity_pattern	0.13638413	0.36919037	0.369414104707011	14	0.585858585858586	0.0214892553723138	0.045454545454545
METTL3	0.475	0.088	0.106	-0.616	activity_pattern	0.14979318	0.15072881	0.993792626638531	14	0.513725490196078	0.448275862068966	0.00392156862745108
MTA1	0.348	0.046	0.078	-1.48	activity_pattern	0.16264606	0.20110946	0.808743954660313	14	0.548571428571429	0.183908045977012	0.00734693877551107
MTNR1A	0.627	0.125	0.142	-0.453	activity_pattern	0.26070122	0.14574476	1.78875192494056	14	0.59204440333025	0.0104947526236882	0.00647548566142497
MTNR1B	0.453	0.115	0.105	0.327	activity_pattern	0.28939446	0.27054206	1.06968380443322	6	0.554006968641115	0.0269865067466267	0.011614401858304
MTTP	0.603	0.14	0.132	0.199	activity_pattern	0.19795419	0.34888525	0.567390538866289	13	0.536687631027254	0.185407296351824	0.00279524807826703
MYBBP1A	0.516	0.12	0.115	0.177	activity_pattern	0.29890988	0.30310973	0.986144126749082	13	0.587450980392157	0.0079960019990005	0.050980392156863
NFIL3	0.482	0.119	0.11	0.302	activity_pattern	0.2737347	0.23840484	1.14819271286606	14	0.584541062801932	0.024487756121939	0.00193236714975797
NGFR	0.294	0.048	0.065	-0.96	activity_pattern	0.19130181	0.13200079	1.44924746283715	12	0.535686274509804	0.138430784607696	0.00862745098039197
NKX2-1	0.394	0.051	0.088	-1.531	activity_pattern	0.14112254	0.13171522	1.07142166258387	13	0.544489795918367	0.139930034982509	0.0179591836734689
NLGN1	0.538	0.073	0.118	-1.377	activity_pattern	0.09596033	0.18697335	0.513229987054305	14	0.518518518518519	0.199900049975013	0.00269360269360308
NOCT	0.491	0.077	0.108	-1.027	activity_pattern	0.19955727	0.23629136	0.844539004727045	14	0.552760307477289	0.0414792603698151	0.000698812019567008
NOS2	0.548	0.117	0.12	-0.102	activity_pattern	0.19609353	0.27977213	0.70090444677245	14	0.535988819007687	0.322838580709645	0.00489168413696706
NPAS2	0.639	0.09	0.141	-1.318	activity_pattern	0.21222012	0.14827419	1.43126811213739	14	0.555052790346908	0.128935532233883	0.00452488687782804
NPS	0.599	0.115	0.136	-0.579	activity_pattern	0.24687546	0.19999488	1.23440890086786	10	0.531400966183575	0.145427286356822	0.00869565217391299
NPSR1	0.64	0.109	0.142	-0.827	activity_pattern	0.20031939	0.21038106	0.952174069281712	14	0.546003016591252	0.135932033983008	0.00678733031674206
NR1D1	0.479	0.069	0.105	-1.259	activity_pattern	0.18816568	0.13741165	1.36935754719487	13	0.532494758909853	0.28535732133933	0.00279524807826703
NR1D2	0.55	0.078	0.122	-1.323	activity_pattern	0.15981545	0.21083953	0.757995666182713	14	0.500754147812971	0.714142928535732	0.00527903469079899
NR1H3	0.346	0.051	0.076	-1.17	activity_pattern	0.20201062	0.17211839	1.17367249368298	14	0.528619528619529	0.187406296851574	0.035016835016835
NR2F6	0.514	0.066	0.116	-1.605	activity_pattern	0.19359437	0.14633839	1.32292264524709	14	0.548566142460684	0.0514742628685657	0.058279370952821
NR3C1	0.574	0.094	0.126	-0.921	activity_pattern	0.20905425	0.12002415	1.7417682191459	14	0.53529000698812	0.222888555722139	0.0251572327044021
NRIP1	0.574	0.132	0.131	0.04	activity_pattern	0.1944122	0.296093	0.656591678965731	14	0.535265700483092	0.281859070464768	0.00289855072463796
NTRK1	0.541	0.104	0.119	-0.472	activity_pattern	0.20163397	0.20013318	1.0074989564449	12	0.544992743105951	0.0409795102448776	0.021770682148041
OGT	0.476	0.079	0.104	-0.869	activity_pattern	0.05009527	0.27037467	0.185280928868078	14	0.53109713487072	0.138430784607696	0.0216631726065689
OPN3	0.501	0.084	0.116	-1.017	activity_pattern	0.2207117	0.15652911	1.41003612682651	11	0.545957918050941	0.166916541729135	0.00442967884828294
OPN4	0.594	0.106	0.132	-0.735	activity_pattern	0.25478655	0.25864767	0.985071893359797	12	0.530980392156863	0.187406296851574	0.00784313725490204
OPN5	0.416	0.078	0.091	-0.512	activity_pattern	0.16395252	0.11227422	1.46028643084762	14	0.514325646401118	0.475262368815592	0.00489168413696695
PARP1	0.514	0.111	0.112	-0.046	activity_pattern	0.15546732	0.28599117	0.543608811418898	13	0.595286195286195	0.00399800099950025	0.053198653198653
PAX4	0.465	0.087	0.105	-0.627	activity_pattern	0.25035037	0.20531246	1.21936277028681	14	0.552266419981499	0.20039980009995	0.022201665124885
PER1	0.521	0.088	0.117	-0.91	activity_pattern	0.17770916	0.22580697	0.786995901853694	14	0.61613475177305	0.000999500249875062	0.000886524822695023
PER2	0.633	0.146	0.139	0.174	activity_pattern	0.30742903	0.35839191	0.857801254498183	14	0.572568940493469	0.0214892553723138	0.036284470246735
PER3	0.699	0.124	0.156	-0.746	activity_pattern	0.33546409	0.40544475	0.827397789711175	12	0.594285714285714	0.000499750124937531	0.048979591836734
PHLPP1	0.577	0.091	0.128	-1.068	activity_pattern	0.1207362	0.32004806	0.377243967671605	12	0.570196078431373	0.0614692653673163	0.00156862745098096
PML	0.526	0.108	0.12	-0.352	activity_pattern	0.25638372	0.26335704	0.973521421717073	14	0.586473429951691	0.0274862568715642	0.0347826086956521
PPARA	0.352	0.072	0.078	-0.25	activity_pattern	0.19177328	0.31645837	0.605998444597942	13	0.549019607843137	0.164417791104448	0.0165912518853689
PPARG	0.313	0.048	0.069	-1.077	activity_pattern	0.15060681	0.16461668	0.914893982796883	14	0.531795946890287	0.256871564217891	0.00419287211740094
PPARGC1A	0.361	0.046	0.079	-1.509	activity_pattern	0.13123038	0.10863627	1.20797943449273	14	0.536026936026936	0.136931534232884	0.018855218855219
PPP1CA	0.492	0.036	0.109	-2.432	activity_pattern	0.09390665	0.17166281	0.547041318967108	14	0.468325791855204	0.930034982508746	0.000754147812972006
PPP1CB	0.36	0.037	0.079	-1.897	activity_pattern	0.12768362	0.05025999	2.5404625030765	14	0.502356902356902	0.660669665167416	0.004713804713804
PPP1CC	0.347	0.042	0.077	-1.652	activity_pattern	0.10390452	0.09271569	1.12067892715893	13	0.525490196078431	0.180909545227386	0.022745098039215
PRKAA1	0.157	0.02	0.034	-1.525	activity_pattern	0.08178682	0.21643026	0.377889949399867	13	0.511111111111111	0.394302848575712	0.00404040404040396
PRKAA2	0.357	0.068	0.078	-0.467	activity_pattern	0.18764574	0.0645771	2.9057628787914	14	0.534006734006734	0.129435282358821	0.0451178451178451
PRKCG	0.219	0.033	0.049	-1.233	activity_pattern	0.15000564	0.20545179	0.730125738987234	14	0.568027210884354	0.0209895052473763	0.0246598639455781
SERPINE1	0.507	0.087	0.115	-0.899	activity_pattern	0.18649965	0.30935675	0.602862714325774	11	0.608695652173913	0.00149925037481259	0.0555041628122109
SFPQ	0.59	0.069	0.13	-1.713	activity_pattern	0.16544783	0.17598806	0.940108266435803	14	0.506033182503771	0.495752123938031	0.00527903469080004
SIAH2	0.224	0.036	0.049	-0.963	activity_pattern	0.07955549	0.27634173	0.287888079733741	14	0.484975541579315	0.638180909545227	0.010482180293501
SIK1	0.216	0.052	0.048	0.349	activity_pattern	0.20074306	0.40330633	0.497743390241358	13	0.570135746606335	0.0134932533733133	0.00377073906485703
SIN3A	0.371	0.061	0.081	-0.895	activity_pattern	0.15864012	0.11003237	1.44175863884419	13	0.542760942760943	0.0494752623688156	0.00673400673400704
SIRT1	0.531	0.082	0.118	-1.127	activity_pattern	0.12109651	0.30310026	0.399526249169169	13	0.534901960784314	0.186406796601699	0.00705882352941201
SLC6A4	0.446	0.094	0.098	-0.148	activity_pattern	0.14449996	0.18989911	0.760930159177681	12	0.553459119496855	0.0939530234882559	0.00279524807826703
SOX14	0.356	0.037	0.08	-1.97	activity_pattern	0.07630234	0.24080549	0.316862958564607	14	0.537234042553192	0.266366816591704	0.00797872340425598
SPSB4	0.426	0.072	0.1	-1.048	activity_pattern	0.08782006	0.18359622	0.478332614908956	13	0.60609756097561	0.0229885057471264	0.00121951219512195
SREBF1	0.505	0.1	0.112	-0.417	activity_pattern	0.20331015	0.28690015	0.708644279203061	13	0.56156862745098	0.0744627686156922	0.00941176470588201
SUV39H2	0.18	0.019	0.04	-1.868	activity_pattern	0.1284253	0.16216975	0.791918961458595	13	0.530920060331825	0.131434282858571	0.00527903469079905
TH	0.473	0.098	0.106	-0.29	activity_pattern	0.1775159	0.37082389	0.478706752145877	14	0.575680272108844	0.00899550224887556	0.013605442176871
THRAP3	0.574	0.099	0.126	-0.791	activity_pattern	0.1283182	0.32411346	0.395905187029258	14	0.53529000698812	0.109945027486257	0.00628930817609996
TIMELESS	0.588	0.105	0.13	-0.699	activity_pattern	0.25744012	0.18232957	1.41194936180675	14	0.552249637155298	0.0274862568715642	0.0464441219158199
TNFRSF11A	0.648	0.137	0.144	-0.177	activity_pattern	0.36007684	0.3159031	1.13983319568564	11	0.595294117647059	0.00399800099950025	0.084705882352941
TOP1	0.511	0.079	0.112	-1.065	activity_pattern	0.12575923	0.11920944	1.05494355145029	13	0.518518518518519	0.226386806596702	0.00209643605870102
TOP2A	0.518	0.107	0.114	-0.211	activity_pattern	0.14955547	0.18198063	0.821820816863861	14	0.524807826694619	0.237381309345327	0.020964360587002
TP53	0.534	0.087	0.119	-0.999	activity_pattern	0.25667744	0.28021461	0.916003059226641	14	0.536326530612245	0.276861569215392	0.00326530612244902
TPH1	0.388	0.054	0.085	-1.294	activity_pattern	0.13808803	0.233357	0.591745822923675	13	0.542087542087542	0.0519740129935032	0.02020202020202
TYMS	0.506	0.078	0.111	-1.104	activity_pattern	0.2347883	0.09501159	2.47115430864803	13	0.53410740203193	0.15992003998001	0.0304789550072569
UBE3A	0.485	0.074	0.106	-1.111	activity_pattern	0.08353689	0.17238662	0.484590335375217	14	0.542976939203354	0.15392303848076	0.00279524807826703
USP2	0.415	0.073	0.094	-0.793	activity_pattern	0.12188256	0.33250589	0.366557596919561	14	0.574468085106383	0.00849575212393803	0.00177304964539005
USP7	0.427	0.075	0.093	-0.695	activity_pattern	0.09947869	0.213288	0.466405470537489	13	0.527946127946128	0.459270364817591	0.036363636363636
