Gene	Ps	Pi	Theta	TajimasD	Phenotype	dN	dS	dN_dS	Cluster	purity_score	p_value	DiffChange	FDR
CRTC1	0.504	0.077	0.108	-1.032	Total_sleep	0.17193169	0.22169389	0.775536439006055	4	0.766666666666667	0.483870967741936	0.00860215053763502	1
CRY1	0.399	0.068	0.084	-0.696	Total_sleep	0.16352909	0.08742233	1.87056430548122	2	0.764705882352941	0.485714285714286		1
CRY2	0.326	0.054	0.069	-0.772	Total_sleep	0.15335369	0.165081	0.928960267989653	2	0.757575757575758	0.485714285714286		1
CSNK1D	0.551	0.084	0.117	-1.003	Total_sleep	0.23755498	0.3143932	0.755598339913204	3	0.772727272727273	0.470588235294118	0.508021390374332	1
CSNK1E	0.364	0.058	0.077	-0.882	Total_sleep	0.06688046	0.43063194	0.155307708945138	5	0.810344827586207	0.00762463343108504	0.0376175548589339	1
DBP	0.423	0.045	0.093	-1.883	Total_sleep	0.20031569	0.2015034	0.994105757024447	7	0.793103448275862	0.433333333333333	0.509770114942529	1
DRD2	0.413	0.067	0.087	-0.827	Total_sleep	0.14408076	0.08054	1.78893419418922	3	0.764705882352941	0.485714285714286	0.00756302521008401	1
DRD3	0.627	0.119	0.133	-0.353	Total_sleep	0.22668352	0.15380603	1.47382726151894	2	0.757575757575758	0.485714285714286		1
DRD4	0.46	0.098	0.103	-0.167	Total_sleep	0.21492348	0.46394922	0.46324785285769	13	0.875	0.0020066889632107	0.017857142857143	0.28695652173913
DYRK1A	0.407	0.056	0.086	-1.226	Total_sleep	0.06032716	0.19345074	0.311847656928063	3	0.757575757575758	0.485714285714286	0.500432900432901	1
EGR1	0.562	0.082	0.121	-1.155	Total_sleep	0.08539562	0.25367861	0.336629170271786	2	0.765625	0.484848484848485		1
EGR3	0.399	0.057	0.085	-1.183	Total_sleep	0.11753819	0.03261151	3.60419342741259	2	0.765625	0.484848484848485		1
EP300	0.521	0.079	0.11	-0.988	Total_sleep	0.12338001	0.30446913	0.405229948927827	3	0.757575757575758	0.485714285714286	0.500432900432901	1
EZH2	0.223	0.037	0.047	-0.768	Total_sleep	0.10807892	0.19899534	0.543122869108392	3	0.78125	0.213903743315508	0.516544117647059	1
F7	0.557	0.137	0.119	0.53	Total_sleep	0.37161385	0.22658222	1.64008389537361	2	0.774193548387097	0.227272727272727		1
FBXL3	0.424	0.068	0.091	-0.884	Total_sleep	0.1108559	0.08532296	1.29925051826613	4	0.766666666666667	0.227272727272727	0.00860215053763502	1
FBXW11	0.386	0.061	0.082	-0.915	Total_sleep	0.13985093	0.02875924	4.86281730671603	2	0.772727272727273	0.228571428571429		1
FBXW7	0.4	0.044	0.084	-1.692	Total_sleep	0.13126353	0.12269027	1.06987726084554	3	0.764705882352941	0.485714285714286	0.264705882352941	1
GFPT1	0.371	0.073	0.078	-0.247	Total_sleep	0.18953076	0.03709386	5.10949143604899	2	0.764705882352941	0.485714285714286		1
GHRH	0.496	0.062	0.106	-1.473	Total_sleep	0.28743075	0.2120276	1.35562893698745	2	0.758064516129032	1		1
GHRL	0.393	0.063	0.086	-0.948	Total_sleep	0.25668822	0.24556057	1.0453152963442	4	0.770833333333333	0.101587301587302	0.2375	1
GNA11	0.543	0.062	0.117	-1.705	Total_sleep	0.19905272	0.17696387	1.12482124175969	5	0.767857142857143	0.482758620689655	0.251190476190476	1
GNAQ	0.473	0.063	0.105	-1.444	Total_sleep	0.13838802	0.10322533	1.34064013164211	6	0.796296296296296	0.428571428571428	0.51058201058201	1
GSK3B	0.183	0.021	0.038	-1.586	Total_sleep	0.09933284	0.13110512	0.757657977049257	3	0.764705882352941	0.485714285714286	0.264705882352941	1
HCRTR2	0.496	0.072	0.105	-1.111	Total_sleep	0.24232547	0.1331495	1.81995028145055	3	0.757575757575758	0.485714285714286	0.500432900432901	1
HDAC1	0.31	0.045	0.066	-1.165	Total_sleep	0.18670538	0.04959379	3.76469271656794	2	0.764705882352941	0.485714285714286		1
HDAC2	0.473	0.056	0.1	-1.577	Total_sleep	0.13466172	0.11467818	1.17425756146461	3	0.764705882352941	0.485714285714286	0.264705882352941	1
HDAC3	0.236	0.054	0.052	0.147	Total_sleep	0.04385301	0.28813814	0.152194395368832	2	0.775862068965517	0.466666666666667		1
HEBP1	0.318	0.068	0.069	-0.055	Total_sleep	0.24030157	0.19068702	1.2601883966722	2	0.772727272727273	0.470588235294118		1
HNRNPD	0.45	0.038	0.095	-2.135	Total_sleep	0.06844793	0.1695053	0.40380996936379	2	0.764705882352941	0.485714285714286		1
HNRNPU	0.445	0.061	0.095	-1.272	Total_sleep	0.10767859	0.20390613	0.528079219589916	2	0.757575757575758	1		1
HTR7	0.55	0.076	0.116	-1.242	Total_sleep	0.1324726	0.17546041	0.754999945571767	3	0.765625	0.484848484848485	0.265625	1
ID2	0.3	0.025	0.063	-2.162	Total_sleep	0.15721755	0.07501438	2.09583215911403	4	0.772727272727273	0.228571428571429	0.00802139037433203	1
ID3	0.553	0.044	0.118	-2.231	Total_sleep	0.18277439	0.13125515	1.39251214142836	10	0.821428571428571	0.0126529477196885	0.058928571428571	1
ID4	0.253	0.024	0.056	-2.064	Total_sleep	0.15025717	0.16191607	0.927994176242049	11	0.85	0.00401337792642141	0.031818181818182	0.573913043478262
KCNA2	0.495	0.098	0.106	-0.287	Total_sleep	0.03390282	0.46474645	0.0729490671741549	2	0.758064516129032	1		1
KCNH7	0.452	0.073	0.095	-0.835	Total_sleep	0.15401043	0.21128962	0.728906748944884	3	0.764705882352941	0.485714285714286	0.264705882352941	1
KDM5A	0.418	0.072	0.088	-0.624	Total_sleep	0.14497761	0.23921112	0.606065512339059	3	0.764705882352941	0.485714285714286	0.264705882352941	1
KLF10	0.613	0.117	0.131	-0.372	Total_sleep	0.20687958	0.35671348	0.57996008449134	3	0.765625	0.484848484848485	0.00804924242424199	1
KLF9	0.303	0.027	0.065	-2.049	Total_sleep	0.08635868	0.23928152	0.360908272398136	5	0.758064516129032	0.484848484848485	0.243358633776091	1
LEP	0.507	0.084	0.111	-0.896	Total_sleep	0.2087292	0.24074158	0.867025962029492	6	0.76	0.0524539317642766	0.476666666666667	1
LGR4	0.596	0.107	0.125	-0.521	Total_sleep	0.17364174	0.37596329	0.461858230892702	4	0.764705882352941	0.485714285714286	0.264705882352941	1
MAGEL2	0.624	0.093	0.142	-1.284	Total_sleep	0.39970115	0.30167168	1.32495416871746	10	0.868421052631579	0.00260869565217392	0.018421052631579	0.373043478260871
MAPK10	0.541	0.063	0.114	-1.588	Total_sleep	0.12400389	0.06897241	1.7978767162116	3	0.764705882352941	0.485714285714286	0.264705882352941	1
MAPK8	0.506	0.072	0.106	-1.136	Total_sleep	0.1319245	0.15044228	0.876911065160672	3	0.764705882352941	0.485714285714286	0.264705882352941	1
MAPK9	0.52	0.094	0.11	-0.531	Total_sleep	0.12994954	0.09620989	1.35068795941873	3	0.774193548387097	0.227272727272727	0.516617790811339	1
MC3R	0.55	0.107	0.121	-0.397	Total_sleep	0.1301894	0.34226073	0.380380769946935	3	0.775862068965517	0.466666666666667	0.275862068965517	1
METTL3	0.491	0.086	0.105	-0.663	Total_sleep	0.11035265	0.13240958	0.833418926334484	4	0.78125	0.213903743315508	0.516544117647059	1
MTA1	0.351	0.043	0.076	-1.538	Total_sleep	0.16775496	0.24414165	0.687121431349383	4	0.72	0.137748586024448	0.436666666666667	1
MTNR1A	0.639	0.125	0.139	-0.343	Total_sleep	0.24218545	0.13977271	1.73270912469251	3	0.777777777777778	0.224137931034483	0.277777777777778	1
MTNR1B	0.461	0.114	0.103	0.364	Total_sleep	0.28476322	0.25847041	1.10172464229078	11	0.834375	0.000200875984965364	0.038541666666667	0.0287252658500471
MTTP	0.637	0.143	0.134	0.231	Total_sleep	0.21546622	0.386716	0.557169137041136	3	0.764705882352941	0.485714285714286	0.264705882352941	1
MYBBP1A	0.57	0.118	0.121	-0.11	Total_sleep	0.28909891	0.31598563	0.914911573668714	8	0.810344827586207	0.0333577712609971	0.0711206896551719	1
NFIL3	0.532	0.123	0.115	0.245	Total_sleep	0.28979945	0.25490322	1.13689991832979	6	0.759259259259259	0.107452725250278	0.215141612200435	1
NGFR	0.314	0.05	0.067	-0.925	Total_sleep	0.21651515	0.16071221	1.34722277790841	2	0.774193548387097	0.227272727272727		1
NKX2-1	0.4	0.053	0.086	-1.383	Total_sleep	0.13020904	0.12483436	1.04305449236893	3	0.777777777777778	0.224137931034483	0.519157088122606	1
NLGN1	0.563	0.073	0.118	-1.362	Total_sleep	0.12244748	0.21625114	0.566228136415836	3	0.757142857142857	1	0.257142857142857	1
NOCT	0.529	0.079	0.112	-1.028	Total_sleep	0.20035785	0.24065116	0.832565486075363	4	0.757575757575758	0.485714285714286	0.243686868686869	1
NOS2	0.58	0.118	0.123	-0.128	Total_sleep	0.21314045	0.29553249	0.721208182558879	2	0.764705882352941	0.485714285714286		1
NPAS2	0.653	0.089	0.139	-1.287	Total_sleep	0.21269968	0.15475215	1.37445379595695	9	0.807692307692308	0.00723025583982201	0.021978021978022	1
NPS	0.694	0.114	0.152	-0.907	Total_sleep	0.23732313	0.19419778	1.22206922241851	5	0.761904761904762	0.053586027499071	0.465608465608466	1
NPSR1	0.739	0.121	0.158	-0.839	Total_sleep	0.25294524	0.2676634	0.94501242979055	2	0.758064516129032	1		1
NR1D1	0.529	0.07	0.111	-1.335	Total_sleep	0.22568163	0.16723321	1.34950247023304	5	0.772727272727273	0.228571428571429	0.00802139037433203	1
NR1D2	0.615	0.08	0.13	-1.39	Total_sleep	0.18053087	0.24708977	0.730628669895966	5	0.772727272727273	0.470588235294118	0.244949494949495	1
NR1H3	0.367	0.053	0.077	-1.131	Total_sleep	0.21217675	0.1855456	1.14352886837521	3	0.764705882352941	0.485714285714286	0.264705882352941	1
NR2F6	0.528	0.067	0.115	-1.516	Total_sleep	0.20214536	0.15237897	1.32659618318722	8	0.833333333333333	0.00505747126436782	0.047619047619047	0.723218390804598
NR3C1	0.608	0.101	0.128	-0.753	Total_sleep	0.24002222	0.1365473	1.75779543059438	3	0.772727272727273	0.228571428571429	0.515584415584416	1
NRIP1	0.658	0.141	0.144	-0.076	Total_sleep	0.21497467	0.30402849	0.707087253566269	3	0.775862068965517	0.225806451612903	0.00919540229884996	1
NTRK1	0.583	0.112	0.124	-0.35	Total_sleep	0.23721942	0.24007523	0.988104520403875	2	0.772727272727273	0.228571428571429		1
OGT	0.496	0.083	0.104	-0.726	Total_sleep	0.05476792	0.30998946	0.176676716685787	6	0.772727272727273	0.228571428571429	0.230243612596554	1
OPN3	0.525	0.088	0.116	-0.862	Total_sleep	0.22469378	0.15877837	1.41514099181142	2	0.8125	0.169230769230769		1
OPN4	0.641	0.105	0.137	-0.841	Total_sleep	0.26129154	0.26927708	0.970344523937945	12	0.814814814814815	0.00723025583982204	0.050925925925926	1
OPN5	0.476	0.082	0.1	-0.647	Total_sleep	0.17044452	0.10940237	1.55796003322414	2	0.764705882352941	0.485714285714286		1
PARP1	0.539	0.114	0.113	0.028	Total_sleep	0.16485491	0.30711387	0.536787576542863	3	0.764705882352941	0.485714285714286	0.264705882352941	1
PAX4	0.531	0.096	0.116	-0.605	Total_sleep	0.23957598	0.21112764	1.1347447449325	2	0.758620689655172	1		1
PER1	0.592	0.094	0.128	-0.946	Total_sleep	0.19023949	0.23666552	0.803832725612079	9	0.814814814814815	0.0149124026696329	0.021711366538953	1
PER2	0.68	0.148	0.144	0.094	Total_sleep	0.32982452	0.37488827	0.87979418507813	3	0.641666666666667	0.601173020527859	0.141666666666667	1
PER3	0.745	0.123	0.16	-0.828	Total_sleep	0.36403457	0.43325735	0.840227107514737	3	0.767857142857143	0.482758620689655	0.267857142857143	1
PHLPP1	0.624	0.099	0.133	-0.933	Total_sleep	0.11874521	0.33547564	0.353960752560156	2	0.774193548387097	0.227272727272727		1
PML	0.552	0.11	0.121	-0.32	Total_sleep	0.23668601	0.2484457	0.952666961030116	3	0.767857142857143	0.104143492769744	0.502232142857143	1
PPARA	0.386	0.074	0.082	-0.357	Total_sleep	0.19902381	0.34570165	0.575709748564984	3	0.772727272727273	0.470588235294118	0.508021390374332	1
PPARG	0.353	0.051	0.074	-1.102	Total_sleep	0.17660159	0.18726109	0.943076802554124	4	0.764705882352941	0.485714285714286	0.00756302521008401	1
PPARGC1A	0.413	0.049	0.087	-1.534	Total_sleep	0.14849215	0.12006469	1.23676786239152	3	0.764705882352941	0.485714285714286	0.264705882352941	1
PPP1CA	0.464	0.036	0.099	-2.245	Total_sleep	0.09510357	0.16923801	0.561951597043714	4	0.758064516129032	0.484848484848485	0.243358633776091	1
PPP1CB	0.415	0.04	0.087	-1.934	Total_sleep	0.14672249	0.05321622	2.75710093651898	3	0.764705882352941	0.485714285714286	0.264705882352941	1
PPP1CC	0.346	0.04	0.074	-1.652	Total_sleep	0.1029843	0.09236677	1.11494967291809	2	0.766666666666667	0.483870967741936		1
PRKAA1	0.169	0.02	0.035	-1.542	Total_sleep	0.08602053	0.23360761	0.368226574468186	3	0.764705882352941	0.485714285714286	0.264705882352941	1
PRKAA2	0.366	0.068	0.077	-0.395	Total_sleep	0.20754665	0.07204142	2.88093502321304	8	0.790322580645161	0.0454545454545455	0.0580645161290321	1
PRKCG	0.264	0.032	0.057	-1.547	Total_sleep	0.11813134	0.18128354	0.651638532654426	4	0.758064516129032	0.484848484848485	0.500488758553274	1
SERPINE1	0.54	0.093	0.117	-0.738	Total_sleep	0.21394157	0.33885078	0.631373993000695	2	0.765625	0.484848484848485		1
SFPQ	0.654	0.076	0.139	-1.617	Total_sleep	0.16020139	0.17061065	0.938988216737935	3	0.764705882352941	0.485714285714286	0.264705882352941	1
SIAH2	0.285	0.04	0.06	-1.223	Total_sleep	0.10269817	0.31561702	0.325388567447979	2	0.757575757575758	1		1
SIK1	0.242	0.052	0.052	0.01	Total_sleep	0.18681493	0.42474838	0.439824938237551	4	0.758064516129032	0.484848484848485	0.243358633776091	1
SIN3A	0.385	0.062	0.081	-0.841	Total_sleep	0.17574913	0.1282036	1.37085955464589	3	0.764705882352941	0.485714285714286	0.264705882352941	1
SIRT1	0.543	0.077	0.117	-1.219	Total_sleep	0.1147135	0.30401982	0.377322439043612	6	0.775862068965517	0.225806451612903	0.260237068965517	1
SLC6A4	0.476	0.099	0.1	-0.05	Total_sleep	0.1615541	0.21865305	0.73886049154128	2	0.764705882352941	0.485714285714286		1
SOX14	0.39	0.039	0.084	-1.914	Total_sleep	0.08477675	0.2574676	0.329271527757279	11	0.84	0.00407860585836115	0.051666666666667	0.583240637745645
SPSB4	0.481	0.08	0.108	-0.963	Total_sleep	0.10121128	0.20723326	0.488393031118654	6	0.8	0.423076923076923	0.511538461538462	1
SREBF1	0.529	0.098	0.113	-0.49	Total_sleep	0.21103366	0.30205318	0.69866392401497	2	0.758064516129032	1		1
SUV39H2	0.182	0.018	0.039	-1.925	Total_sleep	0.0951877	0.12943984	0.735381780447195	9	0.807692307692308	0.0176739587195649	0.051282051282052	1
TH	0.495	0.101	0.107	-0.209	Total_sleep	0.15744108	0.32339875	0.486832679470777	3	0.785714285714286	0.448275862068966	0.509852216748769	1
THRAP3	0.687	0.111	0.145	-0.843	Total_sleep	0.16146309	0.38701871	0.417197116904245	4	0.764705882352941	0.485714285714286	0.13235294117647	1
TIMELESS	0.622	0.108	0.132	-0.657	Total_sleep	0.22776475	0.16041409	1.41985501398287	10	0.810344827586207	0.0156977747110574	0.0103448275862069	1
TNFRSF11A	0.71	0.135	0.151	-0.393	Total_sleep	0.29866222	0.30803319	0.969578050988596	3	0.790322580645161	0.198863636363636	0.00907258064516103	1
TOP1	0.536	0.08	0.113	-1.034	Total_sleep	0.14234197	0.13151114	1.08235674939781	3	0.772727272727273	0.228571428571429	0.00802139037433203	1
TOP2A	0.549	0.108	0.116	-0.226	Total_sleep	0.16438244	0.20526583	0.800827103078968	2	0.764705882352941	0.485714285714286		1
TP53	0.608	0.089	0.13	-1.14	Total_sleep	0.27697484	0.29338521	0.944065448970655	3	0.758064516129032	0.484848484848485	0.500488758553274	1
TPH1	0.413	0.057	0.087	-1.239	Total_sleep	0.15631116	0.25945109	0.602468696508463	3	0.772727272727273	0.228571428571429	0.515584415584416	1
TYMS	0.554	0.079	0.118	-1.179	Total_sleep	0.25971823	0.10212327	2.54318364462869	5	0.78125	0.454545454545455	0.508522727272727	1
UBE3A	0.538	0.077	0.113	-1.138	Total_sleep	0.08436543	0.17258609	0.488830994432981	5	0.772727272727273	0.228571428571429	0.015151515151515	1
USP2	0.472	0.077	0.102	-0.882	Total_sleep	0.13016711	0.34799575	0.374047987655022	13	0.9	3.33166749958353e-05	0.036363636363636	0.00476428452440445
USP7	0.449	0.077	0.094	-0.656	Total_sleep	0.09870803	0.2278497	0.433215536382098	3	0.764705882352941	0.485714285714286	0.264705882352941	1
