Gene	Ps	Pi	Theta	TajimasD	Phenotype	dN	dS	dN_dS	Cluster	purity_score	p_value	DiffChange
HEBP1	0.277	0.065	0.067	-0.111	phase_of_sleep	0.23640648	0.16797294	1.40740812180819	14	0.526984126984127	0.147781213860887	0.00158730158730203
HNRNPD	0.511	0.035	0.119	-2.656	phase_of_sleep	0.06381469	0.15578439	0.409634688045445	3	0.525609756097561	0.926190745460071	0.013414634146341
HNRNPU	0.403	0.063	0.095	-1.244	phase_of_sleep	0.09255605	0.20384899	0.45404222998603	5	0.511538461538462	0.737249772065972	0.0115384615384621
HTR7	0.466	0.072	0.11	-1.276	phase_of_sleep	0.16084261	0.21013829	0.765413147694311	2	0.519230769230769	0.457392368953296	
ID2	0.259	0.026	0.06	-2.123	phase_of_sleep	0.15556159	0.08012058	1.94159340833529	5	0.520325203252033	0.914119463078659	0.02555168408827
ID3	0.468	0.044	0.111	-2.297	phase_of_sleep	0.21842107	0.16609633	1.31502646687016	2	0.522048364153627	0.464907420039089	
ID4	0.222	0.024	0.055	-2.173	phase_of_sleep	0.15297671	0.16057542	0.952678249261313	14	0.496212121212121	0.964932055406295	0.011363636363636
KCNA2	0.454	0.09	0.108	-0.621	phase_of_sleep	0.03008978	0.45302397	0.0664198408750866	9	0.549075391180654	0.285022719595144	0.0312944523470839
KCNH7	0.42	0.074	0.098	-0.917	phase_of_sleep	0.14694039	0.20712662	0.709423008978759	2	0.516840882694541	0.450614509909471	
KDM5A	0.391	0.071	0.091	-0.827	phase_of_sleep	0.14197179	0.23349069	0.608040474761542	8	0.535423925667828	0.334317626989301	0.013937282229965
KLF10	0.506	0.115	0.12	-0.173	phase_of_sleep	0.18074333	0.32734663	0.552146603739284	3	0.512091038406828	0.865185415263037	0.00284495021337106
KLF9	0.271	0.025	0.064	-2.261	phase_of_sleep	0.09400892	0.30618424	0.307033830349988	2	0.519230769230769	0.457392368953296	
LEP	0.476	0.084	0.116	-1.065	phase_of_sleep	0.21194944	0.24168855	0.876952755933204	13	0.549019607843137	0.679908712143772	0.064171122994652
LGR4	0.556	0.102	0.129	-0.791	phase_of_sleep	0.19370565	0.4336252	0.44671216064011	2	0.516840882694541	0.450614509909475	
MAGEL2	0.516	0.096	0.132	-1.103	phase_of_sleep	0.3547557	0.25441162	1.39441626133272	2	0.523809523809524	0.483380001354093	
MAPK10	0.514	0.062	0.119	-1.786	phase_of_sleep	0.14132797	0.07571228	1.8666452786787	2	0.516840882694541	0.450614509909471	
MAPK8	0.497	0.077	0.116	-1.252	phase_of_sleep	0.12644258	0.15232199	0.830100630906936	4	0.518002322880372	0.806156361620351	0.012775842044135
MAPK9	0.501	0.095	0.118	-0.745	phase_of_sleep	0.1701053	0.131174	1.29679128485828	2	0.507692307692308	0.432767580667785	
MC3R	0.41	0.104	0.1	0.151	phase_of_sleep	0.13339608	0.35553962	0.375193290694297	11	0.595365418894831	0.137738040949966	0.11764705882353
METTL3	0.457	0.086	0.109	-0.79	phase_of_sleep	0.15773693	0.18310359	0.861462792728422	2	0.522048364153627	0.464907420039085	
MTA1	0.335	0.045	0.08	-1.667	phase_of_sleep	0.16734065	0.20371234	0.82145563690447	2	0.516516516516517	0.455587679837849	
MTNR1A	0.608	0.121	0.144	-0.585	phase_of_sleep	0.25945953	0.14465414	1.79365436758326	10	0.553306342780027	0.442557881004054	0.072874493927125
MTNR1B	0.426	0.112	0.107	0.183	phase_of_sleep	0.26782561	0.25899233	1.034106338207	14	0.544086021505376	0.034827064717307	0.00860215053763402
MTTP	0.591	0.14	0.138	0.051	phase_of_sleep	0.20721709	0.37179903	0.557336284605154	2	0.51219512195122	0.44189904099461	
MYBBP1A	0.503	0.123	0.118	0.152	phase_of_sleep	0.31387724	0.34185355	0.918162879981793	5	0.523076923076923	0.577354551979824	0.0141025641025639
NFIL3	0.467	0.121	0.113	0.279	phase_of_sleep	0.28559048	0.25077575	1.13882813629308	12	0.53968253968254	0.032633807203362	0.038095238095238
NGFR	0.274	0.045	0.065	-1.134	phase_of_sleep	0.19171437	0.14240422	1.34626888163848	3	0.545209176788124	0.331366954943745	0.017543859649123
NKX2-1	0.381	0.054	0.091	-1.545	phase_of_sleep	0.15821207	0.15072772	1.04965476821384	14	0.522522522522523	0.964042325217877	0.00900900900900892
NLGN1	0.513	0.074	0.119	-1.409	phase_of_sleep	0.108879	0.19512809	0.557987320021428	2	0.516840882694541	0.450614509909471	
NOCT	0.484	0.079	0.112	-1.126	phase_of_sleep	0.20883282	0.26429378	0.790154123188219	4	0.518002322880372	0.510593682143795	0.012775842044135
NOS2	0.54	0.124	0.126	-0.073	phase_of_sleep	0.20422611	0.282235	0.723603061278722	5	0.515853658536585	0.702606936966847	0.0121951219512191
NPAS2	0.57	0.094	0.134	-1.109	phase_of_sleep	0.22171415	0.1637507	1.35397375400533	4	0.534615384615385	0.668632318557155	0.0141025641025651
NPS	0.647	0.106	0.157	-1.231	phase_of_sleep	0.21931655	0.18540476	1.18290679268429	4	0.507563025210084	0.167492751403288	0.001680672268908
NPSR1	0.615	0.11	0.145	-0.912	phase_of_sleep	0.21256266	0.22637931	0.938966816357908	14	0.55195681511471	0.0269344330341327	0.0607287449392709
NR1D1	0.452	0.068	0.106	-1.339	phase_of_sleep	0.19245387	0.13711061	1.403639514112	4	0.525609756097561	0.541495567651974	0.014634146341463
NR1D2	0.551	0.081	0.13	-1.422	phase_of_sleep	0.16872768	0.22850981	0.738382654118876	7	0.535762483130904	0.988057414988517	0.029689608636977
NR1H3	0.291	0.052	0.068	-0.881	phase_of_sleep	0.20863131	0.17997687	1.15921179204861	2	0.516840882694541	0.450614509909475	
NR2F6	0.444	0.067	0.109	-1.486	phase_of_sleep	0.19200868	0.15146554	1.26767236957	2	0.513368983957219	0.453462174104541	
NR3C1	0.557	0.098	0.13	-0.92	phase_of_sleep	0.2222921	0.12695731	1.75092005336282	2	0.51219512195122	0.44189904099461	
NRIP1	0.541	0.13	0.132	-0.069	phase_of_sleep	0.18728118	0.28708651	0.652351028266706	14	0.520499108734403	0.186312810167107	0.00891265597147994
NTRK1	0.525	0.103	0.123	-0.617	phase_of_sleep	0.20925138	0.21777955	0.960840354385892	2	0.519230769230769	0.45739236895329	
OGT	0.45	0.085	0.105	-0.713	phase_of_sleep	0.05513705	0.34091528	0.161732410468665	5	0.541463414634146	0.299030468784255	0.015853658536585
OPN3	0.411	0.08	0.1	-0.745	phase_of_sleep	0.21875376	0.15007966	1.45758432555084	2	0.519327731092437	0.463643564099571	
OPN4	0.563	0.105	0.134	-0.827	phase_of_sleep	0.26738133	0.27665119	0.96649260753225	7	0.541963015647226	0.966678351670381	0.017069701280227
OPN5	0.405	0.078	0.095	-0.676	phase_of_sleep	0.17777783	0.11870738	1.497613964692	5	0.515853658536585	0.929762562515171	0.0121951219512191
PARP1	0.492	0.113	0.114	-0.029	phase_of_sleep	0.17042848	0.33019746	0.516141099328868	2	0.516840882694541	0.450614509909471	
PAX4	0.414	0.084	0.101	-0.622	phase_of_sleep	0.2255955	0.18431894	1.22394095799379	4	0.557983193277311	0.178020970487919	0.036974789915966
PER1	0.515	0.093	0.124	-0.976	phase_of_sleep	0.18273035	0.23803805	0.767651852298404	5	0.528571428571429	0.876680849713991	0.015873015873016
PER2	0.599	0.144	0.141	0.096	phase_of_sleep	0.32550843	0.37493294	0.868177733330126	14	0.532051282051282	0.86983854735036	0.017948717948718
PER3	0.661	0.115	0.157	-1.01	phase_of_sleep	0.35459543	0.43372276	0.817562421672314	2	0.509246088193457	0.438921967170457	
PHLPP1	0.519	0.093	0.123	-0.92	phase_of_sleep	0.12836448	0.3455938	0.371431663415258	6	0.529160739687056	0.598823203343728	0.0256045519203421
PML	0.443	0.097	0.108	-0.418	phase_of_sleep	0.22111545	0.22602874	0.978262543073062	11	0.547237076648841	0.00531479827348555	0.0641711229946521
PPARA	0.319	0.072	0.075	-0.153	phase_of_sleep	0.19011433	0.34365141	0.553218536190496	2	0.507692307692308	0.432767580667785	
PPARG	0.287	0.05	0.067	-0.963	phase_of_sleep	0.1590598	0.1794722	0.886264279370287	2	0.51219512195122	0.44189904099461	
PPARGC1A	0.358	0.048	0.083	-1.598	phase_of_sleep	0.14760946	0.12247656	1.20520579611315	2	0.516840882694541	0.450614509909471	
PPP1CA	0.42	0.036	0.098	-2.37	phase_of_sleep	0.1009458	0.19260477	0.524108515069487	5	0.541463414634146	0.34256298693537	0.015853658536585
PPP1CB	0.377	0.039	0.088	-2.078	phase_of_sleep	0.14029865	0.04768693	2.942077630076	4	0.518002322880372	0.510593682143795	0.012775842044135
PPP1CC	0.277	0.038	0.066	-1.621	phase_of_sleep	0.0936305	0.08600035	1.08872231333942	10	0.521021021021021	0.868793682792168	0.036036036036036
PRKAA1	0.157	0.02	0.036	-1.665	phase_of_sleep	0.09684174	0.27202938	0.35599735587384	6	0.519163763066202	0.933896548170171	0.0127758420441341
PRKAA2	0.343	0.066	0.08	-0.652	phase_of_sleep	0.19279969	0.0629695	3.06179483718308	2	0.516840882694541	0.450614509909475	
PRKCG	0.21	0.035	0.05	-1.173	phase_of_sleep	0.16339893	0.22952701	0.711894125227353	2	0.522048364153627	0.464907420039085	
SERPINE1	0.442	0.085	0.107	-0.766	phase_of_sleep	0.18272952	0.29596606	0.617400251907263	11	0.536507936507937	0.370279202451189	0.00952380952381004
SFPQ	0.601	0.078	0.142	-1.695	phase_of_sleep	0.19127593	0.20192626	0.947256340012438	4	0.515519568151147	0.808688743755159	0.013495276653171
SIAH2	0.226	0.039	0.053	-0.992	phase_of_sleep	0.09094488	0.29690805	0.306306548441513	2	0.51219512195122	0.441899040994615	
SIK1	0.224	0.051	0.053	-0.094	phase_of_sleep	0.233459	0.47381761	0.492719128780376	14	0.517948717948718	0.20792847028142	0.00897435897435894
SIN3A	0.365	0.063	0.085	-0.947	phase_of_sleep	0.17006423	0.11753247	1.44695529669376	2	0.516840882694541	0.450614509909475	
SIRT1	0.519	0.085	0.123	-1.153	phase_of_sleep	0.12840039	0.34907159	0.367833973541072	2	0.51417004048583	0.448382737236631	
SLC6A4	0.44	0.098	0.103	-0.184	phase_of_sleep	0.15780948	0.21981076	0.717933371414575	5	0.515853658536585	0.115575029080823	0.0121951219512191
SOX14	0.347	0.037	0.083	-2.106	phase_of_sleep	0.07950989	0.24425839	0.325515492016467	2	0.516516516516517	0.455587679837852	
SPSB4	0.414	0.074	0.104	-1.13	phase_of_sleep	0.0930477	0.19163246	0.485552917287604	3	0.529032258064516	0.139443377109982	0.019354838709677
SREBF1	0.474	0.095	0.113	-0.595	phase_of_sleep	0.20380693	0.30558807	0.666933529178675	3	0.539118065433855	0.136097381114394	0.017069701280228
SUV39H2	0.167	0.019	0.04	-1.987	phase_of_sleep	0.14385998	0.18297112	0.786244189793449	2	0.522048364153627	0.464907420039085	
TH	0.468	0.099	0.111	-0.41	phase_of_sleep	0.19546667	0.39870979	0.490247982122536	3	0.523470839260313	0.395387257759769	0.0142247510668561
THRAP3	0.559	0.104	0.131	-0.768	phase_of_sleep	0.10828105	0.33353872	0.324643117896477	5	0.515853658536585	0.0720406081626205	0.0121951219512191
TIMELESS	0.574	0.112	0.136	-0.665	phase_of_sleep	0.29005669	0.19897356	1.45776499148932	2	0.503373819163293	0.423187169605344	
TNFRSF11A	0.637	0.132	0.151	-0.463	phase_of_sleep	0.36831058	0.34313167	1.0733797320428	12	0.511470985155196	0.882486567685952	0.024291497975709
TOP1	0.459	0.08	0.107	-0.958	phase_of_sleep	0.13234828	0.12077932	1.09578593421457	4	0.513414634146342	0.278446691269325	0.0121951219512201
TOP2A	0.497	0.108	0.116	-0.274	phase_of_sleep	0.15503564	0.19420861	0.798294370162064	3	0.525609756097561	0.39149669535376	0.013414634146341
TP53	0.541	0.092	0.129	-1.071	phase_of_sleep	0.28293781	0.28535427	0.991531719500816	6	0.524893314366999	0.414732518550792	0.0156472261735421
TPH1	0.389	0.056	0.091	-1.438	phase_of_sleep	0.15031771	0.25688945	0.58514551687506	2	0.51219512195122	0.44189904099461	
TYMS	0.435	0.081	0.102	-0.788	phase_of_sleep	0.25713979	0.10486735	2.45204813509639	4	0.52051282051282	0.524003588981735	0.0141025641025639
UBE3A	0.487	0.076	0.113	-1.237	phase_of_sleep	0.09574493	0.19521884	0.490449231231986	4	0.518002322880372	0.269487302338417	0.012775842044135
USP2	0.405	0.073	0.096	-0.912	phase_of_sleep	0.12376325	0.34707488	0.356589477175646	13	0.543385490753912	0.0378177940190769	0.089615931721195
USP7	0.411	0.075	0.096	-0.804	phase_of_sleep	0.10855091	0.24961567	0.434872177696216	2	0.516840882694541	0.450614509909471	
